ru_utime.sec,ru_utime.usec,ru_stime.sec,ru_stime.usec,ru_maxrss,ru_ixrss,ru_idrss,ru_isrss,ru_minflt,ru_majflt,ru_nswap,ru_inblock,ru_oublock,ru_msgsnd,ru_msgrcv,ru_nsignals,ru_nvcsw,ru_nivcsw,pid
3,977157,0,47841,4356,0,0,0,434,0,0,0,0,0,0,0,4,603,8636
3,956559,0,47470,4356,0,0,0,433,0,0,0,0,0,0,0,4,584,8607
3,974893,0,52339,4352,0,0,0,436,0,0,0,0,0,0,0,5,598,8608
4,9730,0,51506,4352,0,0,0,434,0,0,0,0,0,0,0,4,575,8658
3,963782,0,59907,4356,0,0,0,434,0,0,0,0,0,0,0,4,583,8657
4,15388,0,32404,4356,0,0,0,434,0,0,0,0,0,0,0,4,574,8660
3,970238,0,46891,4356,0,0,0,436,0,0,0,0,0,0,0,4,588,8634
4,27516,0,32735,4356,0,0,0,436,0,0,0,0,0,0,0,4,585,8638
4,51202,0,12757,4356,0,0,0,434,0,0,0,0,0,0,0,4,579,8629
3,995635,0,40613,4352,0,0,0,435,0,0,0,0,0,0,0,5,602,8625
4,74066,0,8780,4352,0,0,0,433,0,0,0,0,0,0,0,4,565,8651
4,68295,0,7920,4352,0,0,0,436,0,0,0,0,0,0,0,5,566,8624
4,118451,0,8792,4356,0,0,0,435,0,0,0,0,0,0,0,4,587,8609
4,95260,0,12789,4352,0,0,0,436,0,0,0,0,0,0,0,5,580,8626
4,26230,0,24854,4356,0,0,0,432,0,0,0,0,0,0,0,4,591,8654
