ru_utime.sec,ru_utime.usec,ru_stime.sec,ru_stime.usec,ru_maxrss,ru_ixrss,ru_idrss,ru_isrss,ru_minflt,ru_majflt,ru_nswap,ru_inblock,ru_oublock,ru_msgsnd,ru_msgrcv,ru_nsignals,ru_nvcsw,ru_nivcsw,pid
0,15889,0,1448,44900,0,0,0,429,0,0,0,80,0,0,0,19,6,7414
0,10787,0,4903,44808,0,0,0,428,0,0,0,80,0,0,0,19,4,7416
0,20055,0,1116,46932,0,0,0,428,0,0,0,80,0,0,0,20,8,7418
0,13161,0,4492,46852,0,0,0,429,0,0,0,80,0,0,0,19,9,7420
0,16701,0,1325,46848,0,0,0,428,0,0,0,80,0,0,0,19,7,7422
0,16359,0,1469,48892,0,0,0,428,0,0,0,80,0,0,0,19,6,7424
0,10906,0,6850,44808,0,0,0,428,0,0,0,80,0,0,0,19,6,7426
0,10785,0,8572,46848,0,0,0,428,0,0,0,80,0,0,0,20,7,7427
0,5136,0,9079,44808,0,0,0,428,0,0,0,80,0,0,0,20,9,7432
0,16191,0,2167,46848,0,0,0,428,0,0,0,80,0,0,0,22,7,7430
0,19972,0,1464,44808,0,0,0,428,0,0,0,80,0,0,0,20,10,7434
0,15785,0,1518,46844,0,0,0,430,0,0,0,80,0,0,0,19,6,7436
0,15463,0,0,44808,0,0,0,430,0,0,0,80,0,0,0,19,11,7438
0,8997,0,11214,46848,0,0,0,429,0,0,0,80,0,0,0,19,13,7440
0,9625,0,8653,44804,0,0,0,428,0,0,0,80,0,0,0,20,13,7442
0,14314,0,6130,44804,0,0,0,428,0,0,0,80,0,0,0,21,14,7443
0,11025,0,7194,46848,0,0,0,429,0,0,0,80,0,0,0,20,7,7447
0,12813,0,6059,44812,0,0,0,427,0,0,0,80,0,0,0,19,10,7446
0,14362,0,6239,46852,0,0,0,430,0,0,0,80,0,0,0,21,11,7451
0,16353,0,4509,44808,0,0,0,430,0,0,0,80,0,0,0,20,10,7453
0,13244,0,5641,44808,0,0,0,429,0,0,0,80,0,0,0,21,9,7450
0,17387,0,1592,46848,0,0,0,427,0,0,0,80,0,0,0,20,6,7452
0,15763,0,5555,46848,0,0,0,428,0,0,0,80,0,0,0,20,9,7458
0,15037,0,1376,44804,0,0,0,429,0,0,0,80,0,0,0,22,7,7460
0,12424,0,5585,46848,0,0,0,428,0,0,0,80,0,0,0,20,7,7462
0,11280,0,4651,46848,0,0,0,429,0,0,0,80,0,0,0,21,9,7466
0,13841,0,6116,46848,0,0,0,428,0,0,0,80,0,0,0,21,10,7463
0,16027,0,4676,46848,0,0,0,430,0,0,0,80,0,0,0,20,9,7469
0,18633,0,1336,44804,0,0,0,429,0,0,0,80,0,0,0,20,8,7468
0,7115,0,12652,46848,0,0,0,428,0,0,0,80,0,0,0,20,12,7473
0,4566,0,19636,44808,0,0,0,429,0,0,0,80,0,0,0,22,10,7471
0,8549,0,10473,44808,0,0,0,427,0,0,0,80,0,0,0,21,16,7476
0,17177,0,2084,44808,0,0,0,429,0,0,0,80,0,0,0,20,6,7486
0,17173,0,6230,44808,0,0,0,429,0,0,0,80,0,0,0,20,7,7483
0,16069,0,5393,44808,0,0,0,428,0,0,0,80,0,0,0,25,12,7479
0,13687,0,6485,44808,0,0,0,428,0,0,0,80,0,0,0,22,8,7487
0,10693,0,8000,44808,0,0,0,428,0,0,0,80,0,0,0,23,7,7477
0,10912,0,9092,46848,0,0,0,429,0,0,0,80,0,0,0,22,7,7482
0,13460,0,10717,44808,0,0,0,431,0,0,0,80,0,0,0,22,10,7485
0,16283,0,5399,46852,0,0,0,430,0,0,0,80,0,0,0,21,14,7495
0,9168,0,13790,46848,0,0,0,429,0,0,0,80,0,0,0,22,20,7494
0,7263,0,23238,44808,0,0,0,429,0,0,0,80,0,0,0,21,10,7492
0,11555,0,13273,46848,0,0,0,427,0,0,0,80,0,0,0,22,14,7493
0,16496,0,4624,44808,0,0,0,430,0,0,0,80,0,0,0,21,5,7496
0,9207,0,10792,44804,0,0,0,429,0,0,0,80,0,0,0,24,11,7501
0,19955,0,0,46844,0,0,0,428,0,0,0,80,0,0,0,22,4,7503
0,15071,0,7482,46848,0,0,0,427,0,0,0,80,0,0,0,20,21,7506
0,12454,0,5266,44808,0,0,0,428,0,0,0,80,0,0,0,22,7,7507
0,18842,0,2124,44808,0,0,0,429,0,0,0,80,0,0,0,19,11,7512
0,8389,0,10168,46848,0,0,0,428,0,0,0,80,0,0,0,23,11,7508
