ru_utime.sec,ru_utime.usec,ru_stime.sec,ru_stime.usec,ru_maxrss,ru_ixrss,ru_idrss,ru_isrss,ru_minflt,ru_majflt,ru_nswap,ru_inblock,ru_oublock,ru_msgsnd,ru_msgrcv,ru_nsignals,ru_nvcsw,ru_nivcsw,pid
4,747682,0,862,4340,0,0,0,435,0,0,0,0,0,0,0,4,18,2637
4,743094,0,5045,4340,0,0,0,433,0,0,0,0,0,0,0,5,35,2629
4,722077,0,911,4336,0,0,0,435,0,0,0,0,0,0,0,3,57,2668
4,748627,0,685,4340,0,0,0,434,0,0,0,0,0,0,0,4,61,2674
4,818412,0,617,4340,0,0,0,434,0,0,0,0,0,0,0,3,59,2702
4,928510,0,769,4340,0,0,0,434,0,0,0,0,0,0,0,4,50,2719
4,735921,0,1276,4340,0,0,0,434,0,0,0,0,0,0,0,4,60,2710
4,743044,0,877,4340,0,0,0,434,0,0,0,0,0,0,0,4,47,2655
4,737788,0,698,4336,0,0,0,435,0,0,0,0,0,0,0,4,57,2767
4,778602,0,4709,4340,0,0,0,437,0,0,0,0,0,0,0,4,54,2780
4,735359,0,4711,4340,0,0,0,435,0,0,0,0,0,0,0,4,53,2786
4,736146,0,1461,4336,0,0,0,437,0,0,0,0,0,0,0,4,53,2837
4,742011,0,893,4340,0,0,0,435,0,0,0,0,0,0,0,4,56,2794
4,839352,0,5294,4340,0,0,0,435,0,0,0,0,0,0,0,4,52,2840
4,826103,0,837,4336,0,0,0,436,0,0,0,0,0,0,0,4,59,2842
4,762493,0,1019,4340,0,0,0,434,0,0,0,0,0,0,0,3,56,2826
5,155063,0,802,4340,0,0,0,435,0,0,0,0,0,0,0,4,58,2825
4,760800,0,875,4336,0,0,0,434,0,0,0,0,0,0,0,4,52,2829
4,737752,0,4868,4336,0,0,0,436,0,0,0,0,0,0,0,4,55,2839
4,778957,0,4787,4340,0,0,0,436,0,0,0,0,0,0,0,4,57,2835
4,765491,0,788,4336,0,0,0,436,0,0,0,0,0,0,0,4,55,2831
4,779426,0,4944,4340,0,0,0,434,0,0,0,0,0,0,0,4,54,2833
4,744176,0,872,4336,0,0,0,435,0,0,0,0,0,0,0,4,56,2850
4,901167,0,757,4340,0,0,0,434,0,0,0,0,0,0,0,4,40,2795
4,765599,0,4960,4336,0,0,0,434,0,0,0,0,0,0,0,3,53,2672
4,767331,0,664,4340,0,0,0,434,0,0,0,0,0,0,0,4,38,2843
4,721821,0,1320,4340,0,0,0,434,0,0,0,0,0,0,0,3,37,2823
4,741343,0,0,4340,0,0,0,435,0,0,0,0,0,0,0,4,40,2729
4,735063,0,5001,4340,0,0,0,433,0,0,0,0,0,0,0,3,46,2722
4,733780,0,4924,4340,0,0,0,434,0,0,0,0,0,0,0,4,54,2651
4,737264,0,656,4340,0,0,0,434,0,0,0,0,0,0,0,4,51,2673
4,734488,0,4756,4340,0,0,0,435,0,0,0,0,0,0,0,4,48,2694
4,740446,0,1016,4340,0,0,0,433,0,0,0,0,0,0,0,4,42,2849
4,769880,0,592,4340,0,0,0,434,0,0,0,0,0,0,0,4,44,2844
5,104669,0,821,4340,0,0,0,434,0,0,0,0,0,0,0,4,47,2756
4,738287,0,840,4340,0,0,0,436,0,0,0,0,0,0,0,4,45,2814
4,763186,0,1014,4340,0,0,0,436,0,0,0,0,0,0,0,4,54,2663
4,741084,0,4894,4336,0,0,0,434,0,0,0,0,0,0,0,3,47,2775
4,758125,0,888,4340,0,0,0,434,0,0,0,0,0,0,0,4,52,2748
4,728124,0,726,4340,0,0,0,436,0,0,0,0,0,0,0,4,43,2782
4,724269,0,899,4340,0,0,0,435,0,0,0,0,0,0,0,3,44,2819
4,734519,0,4730,4336,0,0,0,435,0,0,0,0,0,0,0,4,53,2698
4,741227,0,781,4336,0,0,0,436,0,0,0,0,0,0,0,4,54,2707
4,735958,0,930,4340,0,0,0,434,0,0,0,0,0,0,0,4,53,2726
4,738727,0,791,4336,0,0,0,434,0,0,0,0,0,0,0,4,46,2773
4,743487,0,866,4336,0,0,0,435,0,0,0,0,0,0,0,4,57,2730
4,745819,0,935,4336,0,0,0,434,0,0,0,0,0,0,0,4,58,2752
4,736058,0,988,4340,0,0,0,435,0,0,0,0,0,0,0,4,57,2760
4,746421,0,765,4340,0,0,0,436,0,0,0,0,0,0,0,4,52,2774
4,749272,0,809,4340,0,0,0,435,0,0,0,0,0,0,0,4,49,2820
