ru_utime.sec,ru_utime.usec,ru_stime.sec,ru_stime.usec,ru_maxrss,ru_ixrss,ru_idrss,ru_isrss,ru_minflt,ru_majflt,ru_nswap,ru_inblock,ru_oublock,ru_msgsnd,ru_msgrcv,ru_nsignals,ru_nvcsw,ru_nivcsw,pid
0,16642,0,1208,44804,0,0,0,429,0,0,0,80,0,0,0,20,1,11841
0,17832,0,1633,46940,0,0,0,429,0,0,0,80,0,0,0,21,4,11844
0,20373,0,1635,44808,0,0,0,428,0,0,0,80,0,0,0,19,4,11848
0,17380,0,5807,46940,0,0,0,429,0,0,0,80,0,0,0,18,1,11851
0,14180,0,8849,46848,0,0,0,427,2,0,176,80,0,0,0,22,3,11855
0,10688,0,10289,46844,0,0,0,428,0,0,0,80,0,0,0,20,4,11857
0,13598,0,4829,46848,0,0,0,429,0,0,0,80,0,0,0,18,7,11860
0,16067,0,1501,44812,0,0,0,426,0,0,0,80,0,0,0,19,5,11859
0,5913,0,11096,46848,0,0,0,429,0,0,0,80,0,0,0,19,4,11865
0,14260,0,6039,44808,0,0,0,428,0,0,0,80,0,0,0,19,1,11866
0,11087,0,10265,44900,0,0,0,429,0,0,0,80,0,0,0,19,5,11861
0,18621,0,1696,46848,0,0,0,428,0,0,0,80,0,0,0,19,4,11869
0,18436,0,1176,44808,0,0,0,428,0,0,0,80,0,0,0,19,1,11872
0,14893,0,4965,44804,0,0,0,430,0,0,0,80,0,0,0,19,4,11873
0,15956,0,1295,46848,0,0,0,429,0,0,0,80,0,0,0,18,4,11877
0,15240,0,1350,46848,0,0,0,429,0,0,0,80,0,0,0,19,2,11871
0,15107,0,4545,44808,0,0,0,429,0,0,0,80,0,0,0,19,5,11879
0,6738,0,10327,46848,0,0,0,428,0,0,0,80,0,0,0,19,4,11881
0,15161,0,1485,46848,0,0,0,427,0,0,0,80,0,0,0,19,4,11885
0,19429,0,1566,46848,0,0,0,429,0,0,0,80,0,0,0,20,5,11883
0,16801,0,9671,44892,0,0,0,430,0,0,0,80,0,0,0,20,4,11889
0,8447,0,10229,46848,0,0,0,428,0,0,0,80,0,0,0,19,4,11887
0,10374,0,8645,44808,0,0,0,429,0,0,0,80,0,0,0,19,4,11893
0,18482,0,1638,46848,0,0,0,429,0,0,0,80,0,0,0,19,6,11890
0,18651,0,1781,46848,0,0,0,429,0,0,0,80,0,0,0,19,4,11897
