ru_utime.sec,ru_utime.usec,ru_stime.sec,ru_stime.usec,ru_maxrss,ru_ixrss,ru_idrss,ru_isrss,ru_minflt,ru_majflt,ru_nswap,ru_inblock,ru_oublock,ru_msgsnd,ru_msgrcv,ru_nsignals,ru_nvcsw,ru_nivcsw,pid
0,0,0,99146,4356,0,0,0,425,0,0,0,8000,0,0,0,1010,2,20711
0,0,0,30301,4352,0,0,0,425,0,0,0,8000,0,0,0,1008,8,20707
0,0,0,28376,4352,0,0,0,424,0,0,0,8000,0,0,0,1011,4,20719
0,0,0,30280,4356,0,0,0,425,0,0,0,8000,0,0,0,1011,3,20714
0,1478,0,25760,4356,0,0,0,425,0,0,0,8000,0,0,0,1013,2,20718
0,0,0,25247,4352,0,0,0,424,0,0,0,8000,0,0,0,1013,6,20729
0,0,0,110978,4356,0,0,0,425,0,0,0,8000,0,0,0,1011,3,20734
0,0,0,106223,4352,0,0,0,424,0,0,0,8000,0,0,0,1009,4,20733
0,0,0,26663,4356,0,0,0,424,0,0,0,8000,0,0,0,1009,7,20731
0,1454,0,23246,4356,0,0,0,424,0,0,0,8000,0,0,0,1009,6,20737
