ru_utime.sec,ru_utime.usec,ru_stime.sec,ru_stime.usec,ru_maxrss,ru_ixrss,ru_idrss,ru_isrss,ru_minflt,ru_majflt,ru_nswap,ru_inblock,ru_oublock,ru_msgsnd,ru_msgrcv,ru_nsignals,ru_nvcsw,ru_nivcsw,pid
0,10621,0,8488,46940,0,0,0,430,0,0,0,80,0,0,0,19,6,13712
0,16556,0,1301,44808,0,0,0,428,0,0,0,80,0,0,0,20,4,13710
0,16562,0,5563,46932,0,0,0,429,0,0,0,80,0,0,0,19,4,13714
0,16868,0,1277,44808,0,0,0,429,0,0,0,80,0,0,0,19,5,13718
0,18090,0,1709,46940,0,0,0,429,0,0,0,80,0,0,0,19,2,13722
0,17938,0,1211,44808,0,0,0,427,0,0,0,80,0,0,0,19,4,13720
0,15393,0,1850,46848,0,0,0,428,0,0,0,80,0,0,0,19,7,13726
0,16100,0,1224,44808,0,0,0,427,0,0,0,80,0,0,0,19,5,13724
0,13701,0,5932,46848,0,0,0,429,0,0,0,80,0,0,0,19,4,13728
0,13847,0,8645,46932,0,0,0,430,0,0,0,80,0,0,0,19,1,13729
0,16465,0,1290,46848,0,0,0,429,0,0,0,80,0,0,0,20,5,13732
0,17896,0,1464,46848,0,0,0,429,0,0,0,80,0,0,0,19,4,13735
0,17201,0,1238,44808,0,0,0,428,0,0,0,80,0,0,0,19,4,13736
0,15137,0,1436,44808,0,0,0,428,0,0,0,80,0,0,0,19,5,13740
0,17960,0,1292,46848,0,0,0,428,0,0,0,80,0,0,0,19,1,13739
0,17165,0,1517,46852,0,0,0,430,0,0,0,80,0,0,0,19,1,13743
0,17928,0,1170,46848,0,0,0,428,0,0,0,80,0,0,0,19,1,13745
0,14549,0,4896,44808,0,0,0,429,0,0,0,80,0,0,0,19,1,13749
0,18692,0,1078,44808,0,0,0,427,0,0,0,80,0,0,0,19,4,13751
0,15925,0,1484,46848,0,0,0,431,0,0,0,80,0,0,0,19,2,13753
0,17305,0,5811,44892,0,0,0,429,0,0,0,80,0,0,0,18,5,13755
0,15939,0,1245,44804,0,0,0,430,0,0,0,80,0,0,0,19,4,13758
0,13557,0,6250,46848,0,0,0,429,0,0,0,80,0,0,0,19,4,13757
0,20973,0,3899,44808,0,0,0,428,0,0,0,80,0,0,0,19,5,13760
0,10560,0,8269,44808,0,0,0,428,0,0,0,80,0,0,0,19,4,13764
0,15009,0,5398,46852,0,0,0,429,0,0,0,80,0,0,0,19,5,13766
0,19151,0,1513,46848,0,0,0,427,0,0,0,80,0,0,0,19,7,13770
0,15312,0,1191,44808,0,0,0,428,0,0,0,80,0,0,0,19,4,13763
0,19694,0,1434,46848,0,0,0,428,0,0,0,80,0,0,0,19,5,13765
0,12993,0,5032,44808,0,0,0,429,0,0,0,80,0,0,0,19,4,13773
0,16325,0,1597,46848,0,0,0,430,0,0,0,80,0,0,0,19,4,13774
0,12990,0,5755,46848,0,0,0,429,0,0,0,80,0,0,0,19,4,13777
0,15719,0,1869,44808,0,0,0,429,0,0,0,80,0,0,0,19,5,13779
0,12837,0,5954,44808,0,0,0,428,0,0,0,80,0,0,0,19,2,13782
0,10451,0,8270,44808,0,0,0,428,0,0,0,80,0,0,0,19,4,13780
0,19538,0,1198,44808,0,0,0,428,0,0,0,80,0,0,0,19,1,13787
0,17265,0,1457,44808,0,0,0,430,0,0,0,80,0,0,0,19,5,13785
0,16199,0,1386,44808,0,0,0,428,0,0,0,80,0,0,0,19,4,13796
0,20690,0,1909,46848,0,0,0,429,0,0,0,80,0,0,0,19,4,13790
0,16192,0,1173,44808,0,0,0,428,0,0,0,80,0,0,0,19,2,13797
0,5698,0,10692,46848,0,0,0,429,0,0,0,80,0,0,0,19,5,13792
0,15688,0,1257,44808,0,0,0,427,0,0,0,80,0,0,0,19,4,13795
0,79064,0,1633,44808,0,0,0,428,0,0,0,80,0,0,0,19,3,13801
0,11651,0,5333,44808,0,0,0,428,0,0,0,80,0,0,0,20,4,13803
0,19149,0,1808,46848,0,0,0,428,0,0,0,80,0,0,0,22,3,13809
0,15717,0,1465,46848,0,0,0,428,0,0,0,80,0,0,0,19,4,13808
