ru_utime.sec,ru_utime.usec,ru_stime.sec,ru_stime.usec,ru_maxrss,ru_ixrss,ru_idrss,ru_isrss,ru_minflt,ru_majflt,ru_nswap,ru_inblock,ru_oublock,ru_msgsnd,ru_msgrcv,ru_nsignals,ru_nvcsw,ru_nivcsw,pid
4,563972,0,5091,4352,0,0,0,435,0,0,0,0,0,0,0,4,10,11775
4,593167,0,756,4352,0,0,0,435,0,0,0,0,0,0,0,4,13,11791
4,581946,0,8838,4356,0,0,0,435,0,0,0,0,0,0,0,4,8,11717
4,596485,0,800,4356,0,0,0,435,0,0,0,0,0,0,0,4,8,11720
4,556863,0,1585,4356,0,0,0,434,0,0,0,0,0,0,0,5,10,11713
4,540080,0,1268,4356,0,0,0,435,0,0,0,0,0,0,0,4,10,11708
4,487849,0,894,4356,0,0,0,435,0,0,0,0,0,0,0,4,7,11701
10,811617,0,17023,4356,0,0,0,434,0,0,0,0,0,0,0,4,17,11686
4,469518,0,978,4352,0,0,0,435,0,0,0,0,0,0,0,4,9,11685
4,623536,0,937,4356,0,0,0,434,0,0,0,0,0,0,0,4,10,11661
4,631160,0,4797,4356,0,0,0,433,0,0,0,0,0,0,0,4,8,11662
4,631089,0,8787,4352,0,0,0,435,0,0,0,0,0,0,0,4,7,11667
4,602537,0,8831,4356,0,0,0,433,0,0,0,0,0,0,0,4,10,11666
4,539217,0,793,4356,0,0,0,435,0,0,0,0,0,0,0,4,8,11638
4,461709,0,5098,4356,0,0,0,434,0,0,0,0,0,0,0,4,8,11656
4,482416,0,4751,4352,0,0,0,434,0,0,0,0,0,0,0,4,9,11635
4,560508,0,827,4356,0,0,0,434,0,0,0,0,0,0,0,4,10,11642
4,489290,0,8959,4356,0,0,0,435,0,0,0,0,0,0,0,4,9,11636
4,456957,0,4969,4352,0,0,0,433,0,0,0,0,0,0,0,4,8,11628
4,627399,0,8938,4356,0,0,0,436,0,0,0,0,0,0,0,4,8,11640
4,468098,0,4853,4352,0,0,0,434,0,0,0,0,0,0,0,5,6,11625
4,448477,0,12865,4356,0,0,0,436,0,0,0,0,0,0,0,4,6,11622
4,541303,0,11979,4356,0,0,0,434,0,0,0,0,0,0,0,4,10,11773
4,557936,0,777,4352,0,0,0,436,0,0,0,0,0,0,0,4,8,11722
4,597431,0,1286,4356,0,0,0,433,0,0,0,0,0,0,0,4,12,11681
4,579766,0,773,4356,0,0,0,433,0,0,0,0,0,0,0,3,11,11787
4,527794,0,1090,4356,0,0,0,434,0,0,0,0,0,0,0,4,7,11824
